Nr. crt.,Judetul,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,TOTAL,73.05,71.96,72.24,72.53,72.81,73.10,73.38,73.66,73.95,74.23,74.84,74.90,74.78,75.06,75.47,75.80,76.14,76.68,77.09,77.30,77.53,77.86,77.86,78.08,78.25
1,Alba,73.81,70.86,71.25,71.64,72.03,72.42,72.81,73.19,73.58,73.97,74.83,74.78,75.14,75.77,75.60,75.88,76.37,76.96,77.72,77.85,78.01,78.41,79.09,79.58,80.12
2,Arad,71.67,70.48,70.81,71.13,71.46,71.79,72.11,72.44,72.77,73.09,74.03,74.14,73.85,74.11,74.59,74.88,75.01,75.39,76.08,76.41,76.52,76.94,77.42,77.86,78.31
3,Arges,73.88,72.69,72.97,73.25,73.52,73.80,74.08,74.35,74.63,74.91,75.55,75.92,75.60,75.89,76.15,76.05,76.41,77.00,77.44,77.81,78.12,78.28,78.62,78.84,79.09
4,Bacau,72.78,70.79,71.10,71.42,71.73,72.05,72.37,72.68,73.00,73.32,74.31,73.87,73.81,74.19,74.68,75.30,75.67,76.13,76.52,76.46,76.40,76.79,77.38,77.84,78.33
5,Bihor,71.28,68.80,69.20,69.59,69.99,70.38,70.78,71.17,71.57,71.96,72.89,73.27,73.05,73.10,73.55,74.13,74.41,75.01,75.51,75.89,76.40,76.85,77.19,77.60,78.00
6,Bistrita-N.,72.69,73.41,73.62,73.84,74.05,74.26,74.47,74.69,74.90,75.11,75.89,75.77,75.54,76.12,76.01,76.03,76.33,76.41,76.72,77.34,77.64,77.67,78.08,78.24,78.46
7,Botosani,72.53,70.56,70.92,71.28,71.64,72.00,72.36,72.72,73.08,73.44,74.68,74.66,74.20,74.39,75.25,75.61,75.52,76.11,76.71,76.74,76.65,77.43,78.18,78.95,79.72
8,Brasov,74.55,72.41,72.74,73.06,73.39,73.71,74.04,74.36,74.69,75.01,75.50,75.73,76.07,76.60,76.61,76.79,76.98,77.11,77.56,78.32,78.88,79.22,79.34,79.61,79.84
9,Braila,73.74,72.41,72.71,73.01,73.31,73.60,73.90,74.20,74.49,74.79,75.76,75.73,75.83,75.73,75.54,76.33,76.67,77.06,77.77,77.90,77.54,77.70,78.80,79.27,79.90
10,Buzau,74.18,72.57,72.86,73.16,73.45,73.74,74.03,74.32,74.62,74.91,76.26,75.47,75.23,75.75,76.17,76.37,76.87,77.45,77.67,77.90,77.82,78.27,78.71,79.16,79.60
11,Caras-Sev.,71.45,69.94,70.29,70.64,70.99,71.34,71.68,72.03,72.38,72.73,73.46,73.91,74.21,74.30,73.93,73.84,74.59,75.75,75.88,76.03,76.34,76.82,77.39,77.90,78.43
12,Calarasi,71.55,70.64,70.95,71.27,71.58,71.89,72.21,72.52,72.83,73.15,73.52,74.02,73.68,73.95,74.35,74.81,75.83,76.08,76.47,76.47,76.68,77.13,77.03,77.30,77.47
13,Cluj,73.43,71.63,71.99,72.34,72.70,73.06,73.41,73.77,74.13,74.48,75.18,75.14,75.28,75.84,76.35,76.21,76.29,77.46,78.30,78.52,78.69,78.83,79.10,79.28,79.49
14,Constanta,71.61,70.16,70.52,70.88,71.23,71.59,71.95,72.30,72.66,73.01,73.80,73.89,73.68,74.11,74.69,75.14,75.52,76.02,76.37,76.57,76.84,77.16,77.66,78.04,78.45
15,Covasna,73.79,73.58,73.80,74.01,74.23,74.45,74.67,74.89,75.10,75.32,76.39,76.62,76.34,75.47,75.72,76.25,76.09,76.54,77.30,77.34,77.68,78.16,78.33,78.71,79.03
16,Dambovita,73.03,72.80,73.07,73.34,73.61,73.89,74.16,74.43,74.70,74.97,75.68,75.72,75.37,75.52,76.32,76.88,76.87,77.26,77.57,77.54,77.78,78.24,78.47,78.85,79.20
17,Dolj,72.44,70.69,71.02,71.35,71.68,72.01,72.34,72.67,73.00,73.33,74.01,74.14,73.98,74.31,74.67,75.00,75.69,76.30,76.64,76.78,77.12,77.44,77.55,77.80,78.02
18,Galati,73.95,72.76,73.02,73.28,73.54,73.80,74.06,74.32,74.58,74.84,75.38,75.63,75.29,75.40,76.07,76.50,76.68,76.82,77.19,77.52,77.85,78.16,78.20,78.42,78.60
19,Giurgiu,71.67,71.43,71.71,71.99,72.27,72.55,72.83,73.11,73.40,73.68,74.55,74.77,74.62,74.44,74.55,75.10,75.48,75.81,76.12,76.33,76.44,76.93,77.43,77.92,78.42
20,Gorj,72.85,72.12,72.39,72.66,72.93,73.19,73.46,73.73,74.00,74.27,74.97,74.90,74.75,75.34,75.74,75.67,75.98,76.51,76.69,76.73,76.97,77.24,77.83,78.21,78.64
21,Harghita,74.87,73.11,73.37,73.62,73.87,74.13,74.38,74.63,74.89,75.14,75.96,76.19,76.03,75.91,76.31,76.40,76.37,76.52,76.86,77.70,78.01,78.45,78.61,78.96,79.26
22,Hunedoara,71.86,69.95,70.32,70.68,71.05,71.41,71.77,72.14,72.50,72.87,74.16,74.21,73.60,73.95,74.46,74.30,74.67,75.81,76.48,76.48,76.83,77.30,77.71,78.16,78.60
23,Ialomita,71.32,71.75,72.03,72.30,72.58,72.85,73.13,73.41,73.68,73.96,74.45,74.35,74.55,74.74,74.87,75.49,76.32,77.00,76.78,76.92,76.97,76.98,77.48,77.65,77.91
24,Iasi,73.89,71.10,71.47,71.84,72.21,72.57,72.94,73.31,73.68,74.05,74.78,75.12,74.91,74.92,75.70,76.46,76.84,77.28,77.53,77.44,77.61,78.13,78.83,79.41,80.02
25,Ilfov,0,72.02,72.31,72.59,72.88,73.17,73.46,73.75,74.04,74.33,75.44,74.69,74.81,75.46,76.03,76.20,75.82,76.22,76.96,77.25,77.23,77.69,78.13,78.58,79.03
26,Maramures,72.11,69.47,69.87,70.26,70.66,71.05,71.45,71.85,72.24,72.64,73.20,73.51,73.74,74.13,74.50,74.63,75.19,76.17,76.53,76.81,77.02,77.33,77.77,78.12,78.50
27,Mehedinti,71.99,70.79,71.10,71.40,71.70,72.00,72.30,72.61,72.91,73.21,74.33,74.92,74.39,74.20,74.22,74.34,74.90,75.35,75.39,75.36,75.75,76.58,77.40,78.23,79.05
28,Mures,73.71,71.43,71.75,72.07,72.39,72.71,73.03,73.35,73.67,73.99,74.43,74.69,74.91,75.19,75.35,75.90,76.16,76.69,77.04,77.20,77.54,77.71,78.19,78.46,78.79
29,Neamt,73.68,71.25,71.61,71.97,72.33,72.68,73.04,73.40,73.76,74.12,74.80,74.84,74.60,74.71,75.83,76.70,77.10,77.82,77.44,77.33,78.07,78.53,78.65,79.00,79.29
30,Olt,72.34,70.92,71.24,71.57,71.89,72.22,72.54,72.87,73.19,73.52,74.81,74.16,74.20,75.13,75.08,75.15,75.38,75.62,76.18,76.51,76.88,77.45,77.89,78.42,78.92
31,Prahova,74.09,72.26,72.57,72.88,73.18,73.49,73.79,74.10,74.41,74.71,75.53,75.27,75.21,75.69,76.15,76.27,76.78,77.69,77.86,77.73,78.11,78.41,78.66,78.94,79.22
32,Satu-Mare,71.42,67.89,68.29,68.68,69.08,69.48,69.88,70.27,70.67,71.07,71.87,72.04,72.00,72.60,73.16,73.19,73.52,74.09,74.67,75.15,75.49,75.93,76.29,76.70,77.10
33,Salaj,71.41,70.08,70.43,70.77,71.12,71.47,71.81,72.16,72.51,72.86,73.43,73.52,73.94,74.25,74.21,74.78,75.22,75.67,76.44,76.35,76.48,77.17,77.24,77.72,78.10
34,Sibiu,74.55,71.82,72.15,72.48,72.81,73.14,73.46,73.79,74.12,74.45,75.59,75.61,75.07,75.61,75.97,76.06,76.55,76.90,76.88,77.44,77.88,78.45,78.87,79.39,79.89
35,Suceava,74.17,72.43,72.74,73.06,73.37,73.68,74.00,74.31,74.62,74.94,75.68,76.05,75.76,75.88,76.38,76.79,76.98,77.14,77.71,78.04,77.94,78.40,79.09,79.63,80.20
36,Teleorman,73.29,71.28,71.57,71.87,72.16,72.46,72.75,73.05,73.34,73.64,74.90,74.15,73.96,74.56,74.94,75.31,75.40,75.95,76.45,76.76,76.98,76.99,77.60,77.81,78.12
37,Timis,72.69,71.51,71.82,72.12,72.42,72.73,73.03,73.33,73.64,73.94,74.77,74.91,74.70,74.65,74.91,75.55,75.98,76.53,76.89,77.08,77.33,77.50,77.95,78.21,78.52
38,Tulcea,71.15,69.69,70.02,70.35,70.68,71.00,71.33,71.66,71.99,72.32,72.73,72.73,72.95,72.77,73.82,75.24,75.18,75.60,75.94,75.57,75.49,75.62,76.46,76.83,77.31
39,Vaslui,73.28,71.09,71.42,71.76,72.10,72.43,72.77,73.11,73.44,73.78,74.44,74.93,74.74,74.57,75.18,75.59,76.22,76.84,77.09,76.84,76.96,77.67,78.09,78.70,79.27
40,Valcea,74.01,70.48,70.95,71.43,71.91,72.39,72.86,73.34,73.82,74.30,75.69,76.18,75.82,75.80,76.15,76.30,76.93,77.80,78.52,78.90,79.39,80.27,80.65,81.36,81.99
41,Vrancea,73.96,71.88,72.25,72.61,72.97,73.34,73.70,74.06,74.43,74.79,75.41,75.36,75.52,75.86,76.45,77.08,77.48,77.88,78.36,78.85,79.14,79.06,79.52,79.62,79.81
42,M.Bucuresti,74.09,74.20,74.45,74.69,74.94,75.18,75.43,75.67,75.91,76.16,76.40,76.71,76.70,77.14,77.41,77.44,77.57,78.12,78.65,79.04,79.19,79.11,79.36,79.39,79.48
